,train_loss,val_dice_no_bg,lr
0,0.994786839,0.847745365,0.0001
1,0.348493652,0.880686052,0.0001
2,0.219473085,0.899381694,0.0001
3,0.163969589,0.89510259,0.0001
4,0.132710147,0.90316103,0.0001
5,0.115212826,0.905118725,0.0001
6,0.101739941,0.91107982,0.0001
7,0.091862006,0.913943719,0.0001
8,0.084626493,0.915305636,0.0001
9,0.078617998,0.909810049,0.0001
10,0.073405342,0.919204637,0.0001
11,0.069389742,0.916499561,0.0001
